NCode,Year,Month,TOT_Flights,TOT_Passengers,difference,Arr_flights,Arr_del15,Carrier_ct,Arr_cancelled,Arr_diverted,Arr_delay,inc_dec,inc_dec_label
1,2010,1,57387,6695224,1632,590,103,36,15,2,5341,Increase,1
1,2011,1,57344,6706040,10816,592,99,35,19,1,5213,Increase,1
1,2012,1,55706,6769841,63801,533,77,28,9,1,3886,Increase,1
1,2013,1,56892,6977376,207535,547,101,32,11,1,5202,Increase,1
1,2014,1,57405,7104283,126907,540,112,35,19,1,6329,Increase,1
1,2015,1,56247,6947198,-157085,544,118,38,11,1,6858,Decrease,2
1,2016,1,89259,11281553,4334355,796,131,46,29,1,7321,Increase,1
1,2017,1,88127,11051300,-230253,786,151,44,11,2,8336,Decrease,2
1,2018,1,87905,11264338,213038,767,118,40,15,1,7041,Increase,1
1,2010,2,50671,5955653,-256271,535,112,37,29,1,6388,Decrease,2
1,2011,2,50370,5979189,23536,536,119,35,35,1,6422,Increase,1
1,2012,2,53098,6415216,436027,510,65,24,6,1,3285,Increase,1
1,2013,2,51643,6359713,-55503,497,94,28,10,1,4972,Decrease,2
1,2014,2,51162,6375175,15462,489,102,29,23,1,6086,Increase,1
1,2015,2,48813,6216284,-158891,498,99,30,32,1,6271,Decrease,2
1,2016,2,85571,10561759,4345475,752,116,36,11,1,6878,Increase,1
1,2017,2,80518,10167600,-394159,714,96,30,8,1,5383,Decrease,2
1,2018,2,82018,10710899,543299,712,126,35,9,2,7341,Increase,1
1,2010,3,59058,7503386,80947,599,134,41,7,2,7783,Increase,1
1,2011,3,58457,7421882,-81504,599,102,37,11,2,5697,Decrease,2
1,2012,3,58018,7605195,183313,569,104,29,9,2,5951,Increase,1
1,2013,3,58432,7545556,-59639,556,95,28,5,1,5367,Decrease,2
1,2014,3,59063,7548879,3323,551,100,30,10,1,5640,Increase,1
1,2015,3,57522,7507133,-41746,561,119,42,17,1,6951,Decrease,2
1,2016,3,95949,12635859,5128726,860,160,47,5,2,9155,Increase,1
1,2017,3,93615,12532952,-102907,868,157,46,14,1,8943,Decrease,2
1,2018,3,92756,12864259,331307,823,118,42,26,1,6430,Increase,1
1,2010,4,56053,7145798,-91712,566,89,33,4,2,4945,Decrease,2
1,2011,4,55994,7120831,-24967,557,141,37,15,3,8600,Decrease,2
1,2012,4,53991,7128467,7636,534,78,23,20,2,4842,Increase,1
1,2013,4,55551,7035784,-92683,553,140,37,12,2,9359,Decrease,2
1,2014,4,56507,7268701,232917,552,94,27,2,2,5415,Increase,1
1,2015,4,56807,7359251,90550,560,109,33,4,3,7021,Increase,1
1,2016,4,90740,11830169,4470918,814,125,39,7,2,7364,Increase,1
1,2017,4,89750,12059664,229495,767,154,41,8,1,9905,Increase,1
1,2018,4,90685,12241519,181855,759,116,37,5,2,6867,Increase,1
1,2010,5,57248,7375276,153923,607,128,37,11,3,7704,Increase,1
1,2011,5,56008,7359261,-16015,591,138,41,33,5,9459,Decrease,2
1,2012,5,57123,7563103,203842,579,107,28,4,3,6925,Increase,1
1,2013,5,58034,7457847,-105256,586,128,34,8,4,8319,Decrease,2
1,2014,5,58001,7588216,130369,557,113,34,13,3,7146,Increase,1
1,2015,5,56738,7481877,-106339,588,113,33,12,3,7553,Decrease,2
1,2016,5,94853,12614397,5132520,894,164,48,6,3,10275,Increase,1
1,2017,5,94306,12682795,68398,831,158,43,5,2,9327,Increase,1
1,2018,5,94386,12906289,223494,829,165,49,10,3,11053,Increase,1
1,2010,6,56480,7645804,20831,583,136,41,13,4,8119,Increase,1
1,2011,6,57244,7715144,69340,572,116,43,13,3,6817,Increase,1
1,2012,6,55263,7640614,-74530,544,99,32,8,3,6219,Decrease,2
1,2013,6,57868,7719991,79377,552,156,39,8,3,10533,Increase,1
1,2014,6,59099,7854466,134475,546,168,41,6,3,11031,Increase,1
1,2015,6,57443,7889049,34583,569,126,39,7,3,8539,Increase,1
1,2016,6,96462,13146977,5257928,895,234,71,9,3,15658,Increase,1
1,2017,6,94074,13007839,-139138,787,195,51,13,2,13113,Decrease,2
1,2018,6,94938,13411369,403530,784,189,57,14,3,12167,Increase,1
1,2010,7,59399,8063218,-95292,603,130,42,7,3,7265,Decrease,2
1,2011,7,59574,8185077,121859,591,118,45,12,2,6888,Increase,1
1,2012,7,57630,7981144,-203933,559,122,36,7,3,7529,Decrease,2
1,2013,7,60549,8073292,92148,576,138,38,11,3,8045,Increase,1
1,2014,7,61187,8243194,169902,565,147,40,7,3,8772,Increase,1
1,2015,7,100157,13968150,5724956,947,180,57,7,3,10499,Increase,1
1,2016,7,99003,13563881,-404269,928,252,75,16,4,17371,Decrease,2
1,2017,7,97202,13448312,-115569,863,212,60,16,4,14557,Decrease,2
1,2018,7,97600,13820780,372468,807,220,65,19,3,14826,Increase,1
1,2010,8,58921,7711330,-7686,602,109,40,5,2,6347,Decrease,2
1,2011,8,57879,7645856,-65474,586,119,43,20,2,7105,Decrease,2
1,2012,8,56331,7633181,-12675,558,128,40,11,2,7488,Decrease,2
1,2013,8,60134,7786977,153796,572,98,31,6,2,5516,Increase,1
1,2014,8,59055,7816456,29479,550,139,40,6,3,8544,Increase,1
1,2015,8,97140,13341262,5524806,938,170,57,9,3,10151,Increase,1
1,2016,8,96048,12704813,-636449,863,223,66,16,3,15074,Decrease,2
1,2017,8,96121,13113261,408448,809,168,48,10,2,10033,Increase,1
1,2018,8,96536,13303705,190444,804,204,60,14,3,13634,Increase,1
1,2010,9,54225,6691329,181430,564,87,27,4,2,4696,Increase,1
1,2011,9,54148,6850570,159241,545,90,33,4,2,5075,Increase,1
1,2012,9,51675,6560296,-290274,523,202,71,16,1,11697,Decrease,2
1,2013,9,54145,6638533,78237,526,81,27,3,2,4830,Increase,1
1,2014,9,54105,6712979,74446,515,93,29,3,1,5020,Increase,1
1,2015,9,87823,11547803,4834824,834,114,40,4,2,6310,Increase,1
1,2016,9,86065,11220742,-327061,763,127,38,3,1,7107,Decrease,2
1,2017,9,81706,10786327,-434415,735,91,31,34,1,5139,Decrease,2
1,2018,9,88084,11093237,306910,775,151,45,15,2,9938,Increase,1
1,2010,10,55874,7293763,173457,604,75,27,6,2,4081,Increase,1
1,2011,10,55484,7234188,-59575,577,92,34,3,2,4645,Decrease,2
1,2012,10,53470,6946304,-287884,560,164,54,16,1,7902,Decrease,2
1,2013,10,56801,7225471,279167,572,97,30,1,1,4724,Increase,1
1,2014,10,56109,7185944,-39527,544,124,33,5,1,7517,Decrease,2
1,2015,10,91683,12419858,5233914,868,114,40,8,2,6615,Increase,1
1,2016,10,88625,11764077,-655781,808,114,37,9,1,5854,Decrease,2
1,2017,10,90566,12386167,622090,765,109,36,4,1,6010,Increase,1
1,2018,10,93393,12488511,102344,798,160,47,7,2,10044,Increase,1
1,2010,11,54327,6869244,185965,576,82,27,2,1,4021,Increase,1
1,2011,11,52244,6809507,-59737,532,93,30,2,1,4559,Decrease,2
1,2012,11,53348,6881150,71643,538,104,40,4,1,5044,Increase,1
1,2013,11,54298,6670197,-210953,540,88,28,9,1,4566,Decrease,2
1,2014,11,54393,6690267,20070,532,111,33,3,1,6405,Increase,1
1,2015,11,88367,11520798,4830531,830,127,42,6,2,7264,Increase,1
1,2016,11,85478,11169788,-351010,789,112,33,2,1,5695,Decrease,2
1,2017,11,83751,11505169,335381,718,79,29,1,1,4091,Increase,1
1,2018,11,87943,11930809,425640,769,140,45,5,1,8470,Increase,1
1,2010,12,56927,7136105,65059,585,98,32,14,2,5356,Increase,1
1,2011,12,55194,7008306,-127799,529,88,33,3,1,4324,Decrease,2
1,2012,12,57025,7206281,197975,546,123,40,11,1,6830,Increase,1
1,2013,12,56290,7329858,123577,544,124,35,36,1,6827,Increase,1
1,2014,12,58474,7439835,109977,534,137,42,4,1,7787,Increase,1
1,2015,12,92667,12091996,4652161,832,157,52,14,2,9200,Increase,1
1,2016,12,90157,11695734,-396262,794,159,49,6,1,9405,Decrease,2
1,2017,12,90212,12120035,424301,737,128,40,3,1,7616,Increase,1
1,2018,12,90974,12143341,23306,746,137,42,14,2,7749,Increase,1
3,2010,1,18210,1749292,89313,361,86,24,5,1,5712,Increase,1
3,2011,1,18504,1913431,164139,364,107,36,20,1,6285,Increase,1
3,2012,1,20684,2163320,249889,364,67,22,1,1,3564,Increase,1
3,2013,1,22579,2383218,219898,378,80,27,1,1,4347,Increase,1
3,2014,1,22060,2340212,-43006,368,117,39,39,2,9711,Decrease,2
3,2015,1,25144,2656288,316076,379,87,25,19,1,4846,Increase,1
3,2016,1,27075,2943758,287470,371,98,36,14,1,5712,Increase,1
3,2017,1,29428,3286615,342857,391,96,31,8,2,6403,Increase,1
3,2018,1,28647,3162299,-124316,389,109,39,23,1,8298,Decrease,2
3,2010,2,16536,1641712,5607,340,90,27,19,1,5533,Increase,1
3,2011,2,17365,1816986,175274,340,98,29,17,2,5703,Increase,1
3,2012,2,20069,2120683,303697,354,54,19,0,0,2636,Increase,1
3,2013,2,20119,2162397,41714,342,92,30,13,1,5164,Increase,1
3,2014,2,21176,2229900,67503,330,97,29,18,2,5746,Increase,1
3,2015,2,22378,2434608,204708,347,115,34,23,1,7430,Increase,1
3,2016,2,25742,2859264,424656,351,99,32,9,1,7778,Increase,1
3,2017,2,26263,2931039,71775,357,82,25,16,1,4827,Increase,1
3,2018,2,27333,3078400,147361,357,84,31,6,1,4932,Increase,1
3,2010,3,19621,2113759,142753,394,98,32,11,1,6150,Increase,1
3,2011,3,20988,2304872,191113,393,110,35,2,1,6871,Increase,1
3,2012,3,22858,2563659,258787,403,78,27,1,0,4097,Increase,1
3,2013,3,24177,2741783,178124,401,108,33,3,1,6845,Increase,1
3,2014,3,25112,2752376,10593,377,78,24,7,1,4017,Increase,1
3,2015,3,26500,2996501,244125,396,103,32,8,2,6855,Increase,1
3,2016,3,28584,3306487,309986,384,89,30,2,1,5412,Increase,1
3,2017,3,30238,3479226,172739,406,102,31,16,0,6917,Increase,1
3,2018,3,30278,3655332,176106,414,121,43,27,1,7322,Increase,1
3,2010,4,19085,2033575,86866,374,52,17,2,1,2888,Increase,1
3,2011,4,20695,2184496,150921,387,117,34,4,2,7725,Increase,1
3,2012,4,22283,2474239,289743,390,51,20,0,0,2666,Increase,1
3,2013,4,23354,2548441,74202,378,103,29,3,1,6197,Increase,1
3,2014,4,24729,2687165,138724,368,77,20,5,1,4337,Increase,1
3,2015,4,26250,2921357,234192,380,71,21,2,1,4244,Increase,1
3,2016,4,27796,3127031,205674,374,75,26,3,1,5074,Increase,1
3,2017,4,30047,3452798,325767,394,102,30,6,1,7867,Increase,1
3,2018,4,30971,3613440,160642,404,124,40,5,1,8708,Increase,1
3,2010,5,18411,1981128,156824,350,56,17,4,1,3288,Increase,1
3,2011,5,20291,2194775,213647,359,83,22,2,1,4952,Increase,1
3,2012,5,21654,2372460,177685,353,59,18,0,1,3308,Increase,1
3,2013,5,23451,2559967,187507,355,68,19,1,1,4156,Increase,1
3,2014,5,25009,2735578,175611,353,70,21,9,2,4174,Increase,1
3,2015,5,26634,2957150,221572,364,54,17,3,1,3397,Increase,1
3,2016,5,28884,3242528,285378,362,68,24,1,1,3686,Increase,1
3,2017,5,30047,3400616,158088,381,114,34,10,1,9236,Increase,1
